cube.png Run:  1

real	0m0.274s
user	0m0.256s
sys	0m0.005s
cube.png Run:  2

real	0m0.269s
user	0m0.262s
sys	0m0.004s
cube.png Run:  3

real	0m0.261s
user	0m0.253s
sys	0m0.006s
earth.png Run:  1

real	0m9.087s
user	0m9.002s
sys	0m0.079s
earth.png Run:  2

real	0m9.178s
user	0m9.089s
sys	0m0.084s
earth.png Run:  3

real	0m9.086s
user	0m9.000s
sys	0m0.081s
MSUStadium.png Run:  1

real	0m0.352s
user	0m0.337s
sys	0m0.006s
MSUStadium.png Run:  2

real	0m0.351s
user	0m0.344s
sys	0m0.004s
MSUStadium.png Run:  3

real	0m0.360s
user	0m0.339s
sys	0m0.005s
sparty.png Run:  1

real	0m0.277s
user	0m0.268s
sys	0m0.005s
sparty.png Run:  2

real	0m0.273s
user	0m0.266s
sys	0m0.005s
sparty.png Run:  3

real	0m0.274s
user	0m0.268s
sys	0m0.004s
